Index,Season,League,Team,Entropy,X,Colour
48,2008/2009,Germany,Eintracht Frankfurt,1.0140464325167518,0.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
49,2008/2009,Germany,Hertha Berlin,1.0329541476635256,0.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
50,2008/2009,Germany,Arminia Bielefeld,0.9885589534583,0.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
51,2008/2009,Germany,Werder Bremen,0.9983383633040949,0.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
52,2008/2009,Germany,Energie Cottbus,0.9748825570920895,0.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
53,2008/2009,Germany,Hoffenheim,1.0280156368827904,0.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
54,2008/2009,Germany,Borussia Moenchengladbach,1.0115894225609268,0.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
55,2008/2009,Germany,VfB Stuttgart,1.021205348346792,0.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
56,2008/2009,Germany,Karlsruher SC,0.9938896512462427,0.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
57,2008/2009,Germany,Bochum,1.0087850476125115,0.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
58,2008/2009,Italy,Atalanta,1.032248000351739,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
59,2008/2009,Italy,Robur Siena,1.0067078247669297,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
60,2008/2009,Italy,Cagliari,1.0137551563103542,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
61,2008/2009,Italy,Lazio,1.0346340416551303,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
62,2008/2009,Italy,Catania,0.9929030327042256,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
63,2008/2009,Italy,Genoa,1.0158387515532112,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
64,2008/2009,Italy,Chievo,1.0004240333708507,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
65,2008/2009,Italy,Reggina,0.9893667300788561,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
66,2008/2009,Italy,Fiorentina,1.0062712501358628,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
67,2008/2009,Italy,Juventus,0.9585878266502167,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
68,2008/2009,Italy,AC Milan,0.9478339613158833,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
69,2008/2009,Italy,Bologna,0.998301629278237,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
70,2008/2009,Italy,Roma,1.0009527574942683,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
71,2008/2009,Italy,SSC Napoli,1.0263893154155692,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
72,2008/2009,Italy,Sampdoria,1.0342307558710881,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
73,2008/2009,Italy,Inter,0.9197290743605422,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
74,2008/2009,Italy,Torino,1.0180178097634183,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
75,2008/2009,Italy,Lecce,0.981506275980613,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
76,2008/2009,Italy,Udinese,1.03255864137651,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
77,2008/2009,Italy,Palermo,1.0304296397783979,0.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
78,2008/2009,Spain,Valencia,1.0220970950707429,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
79,2008/2009,Spain,Mallorca,1.0314781259931807,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
80,2008/2009,Spain,Osasuna,1.0363746844674793,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
81,2008/2009,Spain,Villarreal,1.0214323221402097,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
82,2008/2009,Spain,Deportivo La Coruna,1.0423887797894658,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
83,2008/2009,Spain,Real Madrid,0.9329178509921716,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
84,2008/2009,Spain,Numancia,1.0010386124516508,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
85,2008/2009,Spain,Barcelona,0.8468110847579524,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
86,2008/2009,Spain,Racing Santander,1.0347680270564183,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
87,2008/2009,Spain,Sevilla,1.0115128514564637,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
88,2008/2009,Spain,Sporting Gijon,1.0069831831144374,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
89,2008/2009,Spain,Getafe,1.034354898673391,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
90,2008/2009,Spain,Real Betis,1.0323211647637514,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
91,2008/2009,Spain,Recreativo Huelva,1.0108006709531863,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
92,2008/2009,Spain,Espanyol,1.0343584092693419,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
93,2008/2009,Spain,Valladolid,1.0261737342997295,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
94,2008/2009,Spain,Athletic Bilbao,1.0286553917224686,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
95,2008/2009,Spain,Almeria,1.025023412105654,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
96,2008/2009,Spain,Atletico Madrid,1.0099701942592703,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
